customer_id,order_id,order_date,order_value
C0244,O1055,2023-10-25,437.86
C0832,O1056,2023-09-27,206.82
C0505,O1057,2024-09-16,178.15
C0131,O1058,2022-07-08,140.08
C0485,O1059,2022-09-12,143.54
C0819,O1060,2022-03-09,226.87
C0647,O1061,2023-09-08,125.83
C0021,O1062,2022-12-02,61.25
C0841,O1063,2023-11-02,42.7
C0167,O1064,2024-03-31,286.15
C0274,O1065,2024-05-23,538.85
C0388,O1066,2022-10-27,470.81
C0601,O1067,2022-12-23,64.47
C0316,O1068,2022-09-13,466.77
C0014,O1069,2024-10-04,381.78
C0242,O1070,2022-12-19,255.7
C0777,O1071,2023-06-08,162.58
C0346,O1072,2024-08-07,201.47
C0565,O1073,2024-01-26,114.76
C0898,O1074,2022-10-11,398.4
C0340,O1075,2022-04-09,410.71
C0092,O1076,2022-07-16,34.46
C0367,O1077,2023-04-27,712.83
C0956,O1078,2024-05-27,449.25
C0455,O1079,2023-09-07,58.69
C0428,O1080,2023-09-10,199.46
C0509,O1081,2023-01-03,45.18
C0776,O1082,2023-07-24,180.16
C0943,O1083,2023-08-13,382.59
C0035,O1084,2024-12-01,49.5
C0206,O1085,2023-02-26,209.82
C0081,O1086,2024-04-15,359.4
C0932,O1087,2023-06-29,121.55
C0562,O1088,2022-03-12,279.0
C0872,O1089,2024-02-07,244.25
C0388,O1090,2022-11-03,266.87
C0002,O1091,2023-01-12,142.71
C0390,O1092,2023-10-17,176.55
C0566,O1093,2023-11-09,167.54
C0106,O1094,2023-02-03,227.77
C0772,O1095,2022-08-09,36.43
C0822,O1096,2022-07-01,155.75
C0477,O1097,2022-11-03,78.79
C0703,O1098,2023-06-06,384.63
C0402,O1099,2024-10-10,300.15
C0730,O1100,2022-01-04,178.39
C0556,O1101,2024-05-12,213.2
C0162,O1102,2024-04-27,252.83
C0202,O1103,2024-03-14,148.15
C0958,O1104,2022-08-03,21.79
C0996,O1105,2024-08-29,219.05
C0270,O1106,2022-04-11,52.11
C0863,O1107,2024-08-20,121.31
C0816,O1108,2023-07-27,157.33
C0271,O1109,2023-10-20,211.29
C0456,O1110,2024-07-27,231.85
C0462,O1111,2024-12-22,54.93
C0727,O1112,2022-08-14,70.79
C0252,O1113,2022-04-15,209.72
C0702,O1114,2024-02-11,292.35
C0296,O1115,2023-03-05,139.62
C0725,O1116,2023-03-10,165.5
C0720,O1117,2024-11-17,37.45
C0749,O1118,2023-11-13,246.69
C0338,O1119,2023-08-11,238.53
C0879,O1120,2024-12-28,330.35
C0053,O1121,2024-05-15,161.75
C0792,O1122,2024-01-16,568.99
C0922,O1123,2024-05-13,103.6
C0217,O1124,2023-01-03,181.67
C0764,O1125,2022-09-08,540.12
C0188,O1126,2024-05-08,326.52
C0380,O1127,2024-05-05,188.48
C0493,O1128,2023-07-15,101.23
C0041,O1129,2022-10-21,41.81
C0157,O1130,2024-07-07,64.83
C0015,O1131,2023-03-09,93.56
C0813,O1132,2022-02-28,331.43
C0065,O1133,2024-08-26,343.0
C0857,O1134,2024-04-15,648.97
C0839,O1135,2022-07-18,170.99
C0521,O1136,2022-08-03,125.71
C0344,O1137,2024-06-16,229.97
C0129,O1138,2023-04-17,113.32
C0648,O1139,2022-09-04,85.27
C0472,O1140,2023-01-17,78.64
C0063,O1141,2024-09-17,358.09
C0139,O1142,2024-07-15,31.49
C0499,O1143,2023-07-14,190.35
C0593,O1144,2024-12-10,243.06
C0392,O1145,2023-11-20,111.66
C0675,O1146,2023-01-15,262.7
C0419,O1147,2023-04-19,452.67
C0289,O1148,2023-11-28,78.01
C0379,O1149,2024-06-29,165.05
C0773,O1150,2024-08-17,95.47
C0490,O1151,2023-04-23,76.28
C0231,O1152,2024-09-30,324.65
C0041,O1153,2024-07-14,161.0
C0028,O1154,2023-12-08,435.53
C0135,O1155,2024-05-03,27.03
C0201,O1156,2024-10-13,142.17
C0840,O1157,2024-01-24,103.72
C0780,O1158,2023-05-18,27.81
C0930,O1159,2024-03-27,216.54
C0033,O1160,2023-08-11,151.25
C0048,O1161,2023-12-09,202.69
C0503,O1162,2024-12-03,91.34
C0407,O1163,2022-07-26,289.24
C0574,O1164,2022-05-31,596.62
C0728,O1165,2023-10-30,181.02
C0805,O1166,2023-06-12,128.57
C0099,O1167,2022-06-14,172.92
C0684,O1168,2024-07-05,198.57
C0872,O1169,2024-10-06,32.12
C0726,O1170,2022-02-06,271.01
C0987,O1171,2022-11-29,144.25
C0547,O1172,2023-02-07,241.1
C0961,O1173,2023-02-18,312.28
C0739,O1174,2022-02-14,679.71
C0613,O1175,2022-07-25,194.88
C0943,O1176,2022-03-03,157.17
C0462,O1177,2023-02-24,107.85
C0643,O1178,2024-05-17,123.41
C0769,O1179,2024-03-30,296.71
C0005,O1180,2022-01-19,58.45
C0218,O1181,2022-12-31,287.0
C0503,O1182,2024-10-27,186.97
C0767,O1183,2023-03-04,259.96
C0398,O1184,2023-08-03,224.07
C0871,O1185,2023-06-30,302.04
C0795,O1186,2022-11-21,207.96
C0393,O1187,2022-02-24,231.86
C0207,O1188,2024-02-17,207.88
C0015,O1189,2024-09-18,298.75
C0858,O1190,2022-02-11,117.91
C0554,O1191,2022-08-19,76.01
C0892,O1192,2023-03-29,274.67
C0461,O1193,2023-01-29,274.77
C0691,O1194,2023-11-22,127.33
C0575,O1195,2023-01-27,824.72
C0864,O1196,2023-08-27,53.48
C0743,O1197,2024-05-30,61.74
C0241,O1198,2022-03-26,127.99
C0564,O1199,2024-11-19,152.79
C0096,O1200,2022-02-18,292.74
C0900,O1201,2022-03-10,298.2
C0734,O1202,2024-12-17,56.09
C0485,O1203,2023-11-28,148.58
C0407,O1204,2023-04-24,156.8
C0231,O1205,2024-03-30,230.15
C0749,O1206,2022-05-27,347.59
C0655,O1207,2024-10-12,58.93
C0171,O1208,2023-09-01,114.14
C0541,O1209,2023-03-22,21.63
C0036,O1210,2022-08-09,230.48
C0525,O1211,2022-04-05,187.97
C0160,O1212,2022-09-19,153.81
C0839,O1213,2024-06-15,315.52
C0699,O1214,2024-12-30,362.08
C0243,O1215,2022-08-07,348.05
C0086,O1216,2022-04-02,61.21
C0796,O1217,2022-05-07,117.38
C0578,O1218,2022-03-21,191.88
C0682,O1219,2024-09-09,134.33
C0557,O1220,2024-07-04,456.8
C0574,O1221,2023-05-01,351.39
C0953,O1222,2023-11-25,148.52
C0646,O1223,2022-01-25,132.15
C0796,O1224,2022-06-05,81.27
C0028,O1225,2023-09-24,261.41
C0620,O1226,2024-12-16,282.97
C0556,O1227,2022-01-19,45.61
C0340,O1228,2022-08-25,39.72
C0798,O1229,2022-10-04,61.36
C0958,O1230,2024-01-15,408.04
C0331,O1231,2023-07-06,343.35
C0640,O1232,2023-10-01,194.91
C0506,O1233,2022-08-25,204.27
C0348,O1234,2024-09-24,41.65
C0473,O1235,2022-02-24,567.72
C0231,O1236,2023-11-15,395.48
C0190,O1237,2022-04-19,146.8
C0225,O1238,2023-01-08,223.26
C0385,O1239,2024-08-30,117.31
C0377,O1240,2022-07-20,157.34
C0283,O1241,2024-04-28,62.45
C0958,O1242,2023-05-24,163.21
C0633,O1243,2022-10-02,85.58
C0628,O1244,2022-07-30,148.14
C0973,O1245,2023-05-19,286.23
C0745,O1246,2023-12-04,71.36
C0259,O1247,2022-02-11,106.82
C0359,O1248,2022-11-11,19.06
C0710,O1249,2024-02-27,82.91
C0456,O1250,2022-11-25,331.87
C0411,O1251,2024-11-06,306.75
C0649,O1252,2022-10-10,154.77
C0318,O1253,2024-07-31,211.43
C0677,O1254,2022-09-15,31.0
C0225,O1255,2023-07-29,77.36
C0819,O1256,2023-07-28,64.27
C0234,O1257,2023-09-04,279.2
C0684,O1258,2024-11-08,93.45
C0664,O1259,2024-04-16,141.76
C0975,O1260,2023-02-27,414.94
C0827,O1261,2024-01-28,90.19
C0374,O1262,2024-02-02,20.59
C0672,O1263,2023-02-28,358.97
C0608,O1264,2023-03-05,76.01
C0472,O1265,2022-07-23,482.4
C0233,O1266,2022-07-15,146.66
C0692,O1267,2023-12-29,55.42
C0113,O1268,2022-10-12,247.01
C0830,O1269,2022-07-15,247.08
C0497,O1270,2022-11-03,311.98
C0442,O1271,2022-01-14,85.78
C0564,O1272,2024-12-16,108.09
C0268,O1273,2023-12-24,83.75
C0510,O1274,2024-02-19,232.17
C0807,O1275,2023-06-13,102.51
C0386,O1276,2024-03-08,205.9
C0387,O1277,2022-12-10,44.03
C0113,O1278,2022-07-28,206.79
C0613,O1279,2023-10-03,195.3
C0625,O1280,2022-09-09,84.52
C0952,O1281,2022-09-28,194.2
C0081,O1282,2024-07-08,42.87
C0699,O1283,2023-02-23,112.12
C0113,O1284,2024-03-05,66.3
C0002,O1285,2023-12-26,183.34
C0642,O1286,2023-03-09,123.55
C0220,O1287,2022-04-19,263.96
C0566,O1288,2023-10-03,74.87
C0855,O1289,2024-12-06,99.58
C0997,O1290,2023-01-14,56.58
C0736,O1291,2024-08-15,504.66
C0225,O1292,2022-04-13,11.99
C0385,O1293,2024-06-10,404.5
C0403,O1294,2024-05-03,416.96
C0638,O1295,2024-11-16,119.27
C0130,O1296,2023-06-14,91.85
C0053,O1297,2023-11-10,151.16
C0684,O1298,2024-09-15,67.96
C0730,O1299,2023-03-04,120.64
C0672,O1300,2024-04-01,322.48
C0710,O1301,2024-07-20,34.71
C0416,O1302,2024-11-27,252.09
C0247,O1303,2023-05-26,144.43
C0836,O1304,2023-01-28,633.88
C0439,O1305,2023-12-14,164.81
C0203,O1306,2023-05-09,76.81
C0184,O1307,2023-07-01,113.34
C0123,O1308,2023-08-17,119.39
C0401,O1309,2023-01-24,403.48
C0767,O1310,2022-06-07,152.76
C0294,O1311,2024-10-24,190.04
C0280,O1312,2022-06-16,118.94
C0837,O1313,2024-08-17,68.43
C0884,O1314,2023-02-13,37.09
C0610,O1315,2022-07-13,423.15
C0198,O1316,2022-08-23,196.42
C0982,O1317,2023-12-19,122.61
C0907,O1318,2024-03-26,163.43
C0511,O1319,2023-02-08,176.8
C0752,O1320,2024-06-11,291.13
C0144,O1321,2023-11-09,63.43
C0609,O1322,2022-03-09,336.7
C0201,O1323,2022-03-29,113.5
C0124,O1324,2022-08-05,189.6
C0187,O1325,2022-01-01,53.8
C0326,O1326,2022-05-20,52.7
C0464,O1327,2023-09-10,52.35
C0349,O1328,2022-05-13,26.83
C0771,O1329,2022-06-27,208.3
C0660,O1330,2024-03-20,155.94
C0764,O1331,2023-01-15,126.98
C0955,O1332,2024-06-26,59.42
C0932,O1333,2023-10-20,435.48
C0403,O1334,2023-03-26,18.23
C0346,O1335,2023-08-09,255.57
C0963,O1336,2023-04-08,58.74
C0511,O1337,2024-09-16,241.66
C0147,O1338,2022-05-02,358.33
C0148,O1339,2022-01-17,88.27
C0864,O1340,2022-11-23,45.43
C0711,O1341,2022-11-14,53.7
C0820,O1342,2024-03-19,159.68
C0489,O1343,2023-05-18,159.88
C0929,O1344,2022-04-29,81.96
C0936,O1345,2023-12-11,617.95
C0640,O1346,2022-02-14,224.19
C0551,O1347,2022-11-10,79.16
C0338,O1348,2023-02-22,248.39
C0872,O1349,2023-07-10,51.34
C0641,O1350,2022-11-22,590.85
C0779,O1351,2023-05-30,135.74
C0988,O1352,2022-08-02,105.55
C0953,O1353,2022-03-15,284.85
C0473,O1354,2023-05-24,110.28
C0946,O1355,2022-11-28,223.67
C0151,O1356,2023-11-19,289.05
C0415,O1357,2023-10-19,109.22
C0990,O1358,2024-10-24,283.03
C0298,O1359,2023-08-23,149.91
C0611,O1360,2024-12-11,230.53
C0263,O1361,2022-11-21,196.28
C0764,O1362,2024-09-18,432.26
C0144,O1363,2023-12-18,43.98
C0346,O1364,2023-12-24,189.5
C0624,O1365,2022-10-04,58.81
C0572,O1366,2023-06-20,405.25
C0881,O1367,2022-06-01,112.81
C0002,O1368,2024-08-12,166.31
C0897,O1369,2022-09-16,65.78
C0304,O1370,2022-11-20,124.87
C0254,O1371,2024-10-13,38.15
C0652,O1372,2024-05-18,14.47
C0453,O1373,2023-11-19,236.88
C0037,O1374,2022-11-06,122.79
C0160,O1375,2024-03-13,172.37
C0009,O1376,2024-12-15,152.74
C0233,O1377,2023-09-12,109.22
C0099,O1378,2023-04-18,246.01
C0659,O1379,2023-04-06,382.75
C0816,O1380,2024-03-24,61.49
C0208,O1381,2024-04-25,221.95
C0131,O1382,2023-10-29,156.21
C0404,O1383,2022-09-19,305.19
C0152,O1384,2022-12-21,33.36
C0054,O1385,2024-02-09,49.34
C0120,O1386,2022-06-29,157.77
C0673,O1387,2022-03-07,320.45
C0920,O1388,2024-03-30,310.96
C0628,O1389,2022-06-20,244.17
C0587,O1390,2023-04-19,166.25
C0625,O1391,2023-06-18,197.14
C0968,O1392,2023-03-15,137.19
C0420,O1393,2024-04-14,217.14
C0422,O1394,2022-08-15,198.26
C0104,O1395,2023-03-18,236.19
C0852,O1396,2023-01-31,399.98
C0254,O1397,2023-12-29,34.48
C0227,O1398,2022-03-25,85.13
C0112,O1399,2024-11-02,182.12
C0510,O1400,2023-11-24,185.53
C0473,O1401,2023-05-08,152.09
C0099,O1402,2024-08-27,150.0
C0153,O1403,2022-12-19,598.35
C0861,O1404,2024-12-16,232.11
C0914,O1405,2022-02-09,18.68
C0896,O1406,2023-10-02,71.83
C0878,O1407,2022-06-22,413.21
C0338,O1408,2022-09-16,44.65
C0706,O1409,2023-06-01,144.41
C0822,O1410,2023-12-31,321.27
C0163,O1411,2023-06-07,144.51
C0720,O1412,2024-04-18,319.78
C0957,O1413,2022-04-27,196.35
C0681,O1414,2022-07-03,212.86
C0996,O1415,2022-06-11,37.78
C0161,O1416,2023-06-27,132.51
C0580,O1417,2024-04-18,84.58
C0801,O1418,2024-12-25,206.11
C0398,O1419,2024-12-29,561.29
C0277,O1420,2023-03-23,253.21
C0816,O1421,2023-02-20,308.3
C0916,O1422,2023-06-16,95.52
C0504,O1423,2023-03-17,274.74
C0896,O1424,2024-01-08,42.13
C0392,O1425,2023-04-09,140.88
C0135,O1426,2023-01-31,295.67
C0195,O1427,2023-12-12,178.64
C0401,O1428,2023-01-30,292.81
C0640,O1429,2022-11-22,477.14
C0033,O1430,2024-01-20,245.67
C0688,O1431,2024-12-29,147.48
C0460,O1432,2023-10-04,95.11
C0955,O1433,2022-08-02,108.79
C0883,O1434,2023-01-04,152.65
C0470,O1435,2022-02-18,269.89
C0375,O1436,2024-12-11,338.78
C0022,O1437,2022-05-13,76.6
C0750,O1438,2024-09-25,160.04
C0670,O1439,2024-02-25,70.12
C0038,O1440,2023-01-08,198.75
C0230,O1441,2023-04-24,310.1
C0365,O1442,2024-04-11,312.9
C0563,O1443,2023-10-12,92.39
C0438,O1444,2023-11-13,96.62
C0776,O1445,2023-11-19,163.42
C0283,O1446,2022-03-23,142.68
C0027,O1447,2022-03-28,291.19
C0226,O1448,2022-08-13,167.04
C0277,O1449,2022-01-16,218.22
C0798,O1450,2024-04-01,168.84
C0609,O1451,2022-06-12,157.16
C0284,O1452,2023-05-29,66.23
C0879,O1453,2022-12-16,141.57
C0960,O1454,2023-11-12,110.36
C0481,O1455,2022-06-30,601.9
C0453,O1456,2024-01-13,534.58
C0829,O1457,2023-10-22,211.4
C0816,O1458,2023-05-08,210.4
C0659,O1459,2024-07-11,164.76
C0516,O1460,2022-05-08,170.61
C0547,O1461,2023-07-19,221.02
C0192,O1462,2023-07-04,351.38
C0049,O1463,2023-03-29,381.53
C0512,O1464,2023-04-16,162.17
C0017,O1465,2024-09-14,362.79
C0172,O1466,2024-01-08,38.42
C0220,O1467,2022-08-12,43.36
C0158,O1468,2022-06-03,159.05
C0477,O1469,2023-07-14,63.56
C0046,O1470,2022-12-17,227.72
C0373,O1471,2022-12-15,236.34
C0518,O1472,2022-07-01,69.57
C0099,O1473,2023-09-29,687.63
C0892,O1474,2024-10-14,380.96
C0745,O1475,2022-06-28,94.88
C0037,O1476,2024-11-28,36.69
C0280,O1477,2024-02-11,117.69
C0349,O1478,2024-06-12,235.87
C0497,O1479,2024-10-23,131.93
C0302,O1480,2024-10-12,12.61
C0181,O1481,2022-03-05,117.87
C0607,O1482,2022-01-29,508.36
C0099,O1483,2023-01-07,215.57
C0700,O1484,2022-04-07,67.4
C0993,O1485,2024-09-19,39.03
C0116,O1486,2022-01-21,31.36
C0191,O1487,2024-01-05,62.76
C0253,O1488,2024-12-05,71.13
C0981,O1489,2022-03-07,223.48
C0928,O1490,2023-08-26,692.72
C0983,O1491,2022-12-04,78.03
C0161,O1492,2022-05-03,318.81
C0256,O1493,2023-03-23,630.66
C0323,O1494,2023-09-03,48.53
C0128,O1495,2023-11-02,323.71
C0018,O1496,2023-09-07,184.41
C0793,O1497,2024-06-15,65.73
C0735,O1498,2022-10-08,115.39
C0566,O1499,2024-12-02,194.78
C0570,O1500,2023-08-19,276.94
C0323,O1501,2023-12-04,158.69
C0872,O1502,2024-12-10,228.93
C0686,O1503,2022-07-29,402.08
C0792,O1504,2022-05-06,66.04
C0626,O1505,2023-05-07,236.61
C0288,O1506,2024-08-17,68.83
C0943,O1507,2024-08-27,286.32
C0854,O1508,2023-08-04,116.3
C0663,O1509,2024-02-16,271.2
C0962,O1510,2022-09-15,152.1
C0639,O1511,2022-08-18,104.81
C0155,O1512,2022-07-08,109.79
C0490,O1513,2022-01-10,10.32
C0386,O1514,2023-11-07,148.33
C0986,O1515,2023-05-17,229.86
C0785,O1516,2022-03-26,337.36
C0104,O1517,2022-02-18,369.13
C0929,O1518,2024-04-17,134.99
C0393,O1519,2024-10-04,372.32
C0811,O1520,2023-11-20,529.58
C0246,O1521,2023-01-22,49.7
C0176,O1522,2024-08-27,100.25
C0039,O1523,2024-10-02,593.05
C0477,O1524,2022-08-06,295.5
C0682,O1525,2024-10-01,128.58
C0759,O1526,2022-09-12,151.4
C0538,O1527,2022-08-24,319.51
C0867,O1528,2024-11-15,80.42
C0818,O1529,2022-09-28,155.03
C0921,O1530,2022-05-03,235.88
C0408,O1531,2023-10-18,201.38
C0525,O1532,2022-09-16,216.34
C0828,O1533,2024-08-05,37.89
C0506,O1534,2022-02-16,205.93
C0903,O1535,2024-05-12,78.67
C0825,O1536,2023-06-09,72.56
C0036,O1537,2024-06-06,371.38
C0685,O1538,2022-07-27,246.74
C0020,O1539,2024-01-17,125.65
C0321,O1540,2022-05-29,191.22
C0776,O1541,2023-03-14,226.02
C0512,O1542,2022-06-04,222.77
C0400,O1543,2022-12-24,282.08
C0654,O1544,2023-04-01,364.51
C0972,O1545,2024-02-15,228.36
C0883,O1546,2023-09-21,284.76
C0471,O1547,2024-04-11,28.47
C0143,O1548,2023-05-01,275.9
C0092,O1549,2023-06-17,207.2
C0354,O1550,2022-07-19,284.91
C0834,O1551,2023-01-06,140.14
C0800,O1552,2024-10-10,423.15
C0727,O1553,2024-05-02,50.28
C0959,O1554,2022-09-05,238.4
C0854,O1555,2024-02-27,238.65
C0051,O1556,2022-09-21,117.78
C0665,O1557,2024-12-17,119.4
C0698,O1558,2022-01-31,293.98
C0575,O1559,2023-08-28,62.12
C0190,O1560,2023-05-17,137.88
C0125,O1561,2024-06-04,14.42
C0150,O1562,2023-07-03,142.57
C0314,O1563,2024-04-18,39.06
C0570,O1564,2024-04-27,749.95
C0342,O1565,2023-09-06,412.12
C0305,O1566,2023-02-16,101.54
C0692,O1567,2023-03-08,39.76
C0682,O1568,2023-11-09,234.17
C0838,O1569,2022-06-08,143.93
C0783,O1570,2022-01-14,99.77
C0054,O1571,2023-01-08,167.69
C0444,O1572,2022-08-13,151.84
C0613,O1573,2023-05-26,344.97
C0993,O1574,2023-08-26,81.86
C0264,O1575,2022-08-04,26.65
C0053,O1576,2024-09-14,305.07
C0572,O1577,2024-04-19,206.8
C0620,O1578,2023-12-28,67.25
C0005,O1579,2023-07-08,68.05
C0103,O1580,2024-12-01,65.27
C0196,O1581,2023-11-07,137.99
C0774,O1582,2024-05-22,591.72
C0877,O1583,2022-10-10,411.88
C0992,O1584,2024-12-17,111.21
C0884,O1585,2024-04-13,470.74
C0350,O1586,2023-06-21,68.67
C0047,O1587,2024-07-11,128.19
C0867,O1588,2024-04-21,144.07
C0823,O1589,2024-08-05,687.91
C0936,O1590,2023-10-27,45.9
C0820,O1591,2022-03-08,269.47
C0656,O1592,2022-01-06,112.31
C0269,O1593,2023-09-29,161.71
C0370,O1594,2022-11-10,71.95
C0636,O1595,2023-07-19,150.0
C0106,O1596,2024-04-05,391.93
C0670,O1597,2023-05-21,13.59
C0659,O1598,2024-10-22,159.64
C0657,O1599,2022-07-23,23.64
C0120,O1600,2023-10-24,352.38
C0831,O1601,2024-03-15,19.02
C0787,O1602,2023-02-08,61.54
C0604,O1603,2023-06-20,388.43
C0058,O1604,2023-07-31,117.96
C0951,O1605,2024-02-02,126.98
C0346,O1606,2022-04-27,137.15
C0741,O1607,2023-09-20,139.74
C0474,O1608,2024-01-19,103.23
C0117,O1609,2022-04-15,489.31
C0830,O1610,2023-05-10,449.07
C0791,O1611,2022-02-15,128.46
C0127,O1612,2024-04-02,42.34
C0393,O1613,2024-09-08,246.75
C0908,O1614,2024-08-17,155.15
C0641,O1615,2024-04-24,116.37
C0058,O1616,2023-03-25,113.07
C0634,O1617,2023-06-20,143.11
C0513,O1618,2023-05-26,51.77
C0751,O1619,2023-06-24,90.98
C0802,O1620,2022-01-16,26.25
C0096,O1621,2022-08-31,259.38
C0638,O1622,2024-06-30,676.43
C0118,O1623,2024-01-31,721.07
C0560,O1624,2023-12-06,204.57
C0601,O1625,2022-04-25,81.55
C0488,O1626,2023-02-01,199.36
C0237,O1627,2023-01-29,512.55
C0885,O1628,2024-09-04,303.86
C0897,O1629,2022-10-24,117.91
C0272,O1630,2024-09-28,123.17
C0189,O1631,2022-06-27,25.13
C0999,O1632,2024-08-24,224.56
C0704,O1633,2022-11-11,353.31
C0447,O1634,2024-11-28,140.16
C0581,O1635,2022-09-16,76.23
C0790,O1636,2022-01-07,398.27
C0861,O1637,2022-02-18,385.6
C0247,O1638,2022-06-10,78.95
C0963,O1639,2022-06-25,81.19
C0076,O1640,2024-10-22,339.94
C0154,O1641,2024-09-27,142.24
C0656,O1642,2023-03-31,156.61
C0435,O1643,2022-10-03,213.46
C0997,O1644,2023-05-13,194.39
C0086,O1645,2023-11-07,57.89
C0697,O1646,2024-11-17,63.24
C0285,O1647,2024-10-21,303.14
C0974,O1648,2022-02-25,101.39
C0220,O1649,2023-07-01,355.11
C0069,O1650,2022-02-05,352.48
C0047,O1651,2023-03-15,112.38
C0094,O1652,2023-08-18,157.99
C0750,O1653,2022-11-03,238.89
C0958,O1654,2023-09-11,159.32
C0453,O1655,2022-12-23,180.36
C0204,O1656,2022-06-30,311.43
C0912,O1657,2022-03-09,206.01
C0218,O1658,2022-10-19,62.39
C0474,O1659,2023-11-23,524.19
C0432,O1660,2022-06-30,87.66
C0341,O1661,2023-03-10,115.85
C0551,O1662,2024-07-02,243.81
C0612,O1663,2022-03-07,184.08
C0289,O1664,2024-11-10,19.53
C0254,O1665,2023-01-19,236.15
C0734,O1666,2022-02-08,85.5
C0357,O1667,2024-04-01,112.9
C0023,O1668,2023-08-25,69.22
C0762,O1669,2024-02-24,190.49
C0522,O1670,2023-11-02,82.9
C0758,O1671,2023-04-24,541.95
C0837,O1672,2023-07-15,321.8
C0100,O1673,2022-04-11,344.72
C0802,O1674,2023-05-29,115.52
C0180,O1675,2022-06-25,609.53
C0223,O1676,2022-08-26,156.56
C0906,O1677,2024-06-28,184.98
C0762,O1678,2024-12-18,146.57
C0659,O1679,2024-05-20,199.8
C0442,O1680,2023-05-10,518.77
C0608,O1681,2024-08-04,208.62
C0769,O1682,2024-01-25,48.07
C0325,O1683,2022-07-30,322.5
C0516,O1684,2022-05-20,213.57
C0016,O1685,2023-06-25,91.85
C0792,O1686,2022-09-27,237.57
C0336,O1687,2024-11-01,156.46
C0759,O1688,2023-05-21,134.48
C0258,O1689,2022-02-01,162.77
C0497,O1690,2024-12-28,242.47
C0988,O1691,2024-03-23,171.79
C0896,O1692,2022-12-28,194.05
C0160,O1693,2024-07-17,226.67
C0475,O1694,2022-04-10,154.26
C0852,O1695,2022-01-09,96.06
C0664,O1696,2023-11-28,45.99
C0908,O1697,2024-11-18,363.73
C0690,O1698,2023-04-07,234.85
C0675,O1699,2024-07-09,353.43
C0380,O1700,2023-01-25,190.96
C0545,O1701,2023-09-24,420.54
C0929,O1702,2023-11-13,254.55
C0957,O1703,2022-06-06,108.9
C0691,O1704,2022-12-01,89.99
C0427,O1705,2022-09-17,103.88
C0613,O1706,2022-03-23,209.14
C0268,O1707,2024-01-24,198.37
C0835,O1708,2023-12-21,131.95
C0577,O1709,2022-03-16,73.31
C0417,O1710,2023-09-18,192.46
C0168,O1711,2022-03-03,205.13
C0842,O1712,2024-05-23,331.46
C0043,O1713,2022-11-16,25.45
C0556,O1714,2022-04-12,187.94
C0285,O1715,2024-05-23,66.7
C0397,O1716,2024-08-11,77.88
C0012,O1717,2022-09-12,86.33
C0607,O1718,2023-07-24,33.87
C0302,O1719,2022-04-22,205.98
C0898,O1720,2024-09-11,180.57
C0253,O1721,2024-09-24,113.06
C0499,O1722,2023-04-06,178.85
C0754,O1723,2023-12-09,195.22
C0035,O1724,2024-06-05,134.45
C0727,O1725,2024-12-11,50.4
C0849,O1726,2023-06-04,144.72
C0090,O1727,2024-03-22,33.2
C0776,O1728,2022-08-24,179.72
C0605,O1729,2024-07-15,227.43
C0922,O1730,2023-07-11,81.21
C0970,O1731,2023-10-11,108.78
C0602,O1732,2022-08-22,357.31
C0418,O1733,2024-11-21,265.05
C0115,O1734,2023-08-02,203.94
C0617,O1735,2023-06-26,136.19
